id,name,price,availability,manufacturer,type,packaging,composition
1,Medica 100 Tablet,75.5,FALSE,HealthCorp Ltd,allopathy,strip of 10 tablets,Paracetamol (500mg)
2,HealFast 250 Capsule,120.0,TRUE,PharmaPlus Inc,allopathy,strip of 15 capsules,Ibuprofen (250mg)
3,QuickRelief 500 Tablet,200.0,FALSE,Wellness Pharma,allopathy,strip of 10 tablets,Aspirin (500mg)
4,AllergyFree 10 Tablet,50.0,FALSE,AllergyCare Ltd,allopathy,strip of 10 tablets,Loratadine (10mg)
5,ColdCure Syrup,80.0,FALSE,ColdMed Pharmaceuticals,allopathy,bottle of 100 ml Syrup,Dextromethorphan (15mg/5ml)
6,PainAway Cream,90.0,FALSE,PainRelief Ltd,allopathy,tube of 30 gm Cream,Diclofenac (1% w/w)
7,HeartCare 50 Tablet,150.0,FALSE,CardioHealth Inc,allopathy,strip of 10 tablets,Atorvastatin (50mg)
8,DiabControl 5 Tablet,60.0,FALSE,DiabetesCare Ltd,allopathy,strip of 10 tablets,Metformin (500mg)
9,InfectoStop 250 Capsule,110.0,FALSE,InfectionControl Ltd,allopathy,strip of 10 capsules,Amoxicillin (250mg)
10,Respira 100 Inhaler,300.0,FALSE,RespiraCare Ltd,allopathy,packet of 1 Inhaler,Salbutamol (100mcg)
11,AntiFungal 150 Tablet,70.0,FALSE,FungalCare Ltd,allopathy,strip of 1 tablet,Fluconazole (150mg)
12,AntiViral 500 Tablet,180.0,FALSE,VirusControl Ltd,allopathy,strip of 10 tablets,Acyclovir (500mg)
13,AntiBacterial 250 Tablet,130.0,FALSE,BacteriaCare Ltd,allopathy,strip of 10 tablets,Ciprofloxacin (250mg)
14,AntiInflammatory 100 Tablet,85.0,FALSE,InflammationCare Ltd,allopathy,strip of 10 tablets,Naproxen (100mg)
15,AntiAllergy 5 Tablet,40.0,FALSE,AllergyRelief Ltd,allopathy,strip of 10 tablets,Cetirizine (5mg)
16,AntiAcid 20 Tablet,55.0,FALSE,AcidControl Ltd,allopathy,strip of 10 tablets,Ranitidine (20mg)
17,AntiPain 50 Tablet,95.0,FALSE,PainControl Ltd,allopathy,strip of 10 tablets,Tramadol (50mg)
18,AntiDiabetic 5 Tablet,65.0,FALSE,DiabetesControl Ltd,allopathy,strip of 10 tablets,Glipizide (5mg)
19,AntiHypertensive 10 Tablet,75.0,FALSE,HypertensionCare Ltd,allopathy,strip of 10 tablets,Lisinopril (10mg)
20,AntiDepressant 20 Tablet,150.0,FALSE,DepressionCare Ltd,allopathy,strip of 10 tablets,Fluoxetine (20mg)
